id,start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
0,5,0,0,Human,315358244,-25149001#4,212975.4675,453432.9725,212672.595,451274.97,1
1,5,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
2,11,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,7
3,11,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,1
4,11,3,3,Human,315358250#0,386687235,213010.6175,453383.065,213478.36,452435.42,1
5,12,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
6,13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,7
7,15,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
8,17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
9,25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92,8
10,26,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
11,28,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
12,30,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,1
13,31,6,5,Human,201201953#4,-266565295#5,212565.76,452330.09,213811.85,452244.51,2
14,33,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
15,37,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
16,39,7,6,Human,272042143,24634414#1,213484.675,452457.545,213210.56,452282.365,7
17,55,8,7,Human,266565295#5,-24634415,213807.23,452252.93,213265.68,452105.8000000001,7
18,56,9,8,Human,22716069#0,24634517#13,212648.485,451697.03,212403.965,451889.175,7
19,57,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,10
20,57,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
21,58,10,5,Human,24634507,-266565295#5,212909.515,451808.915,213811.85,452244.51,7
22,60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,8
23,61,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,4
24,69,12,10,Human,315358242#0,306240162#0,213272.11,452897.16,211642.94,452890.83,5
25,72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
26,72,13,11,Human,-447569998#1,-26677539,213434.54,453008.69,213132.695,453002.015,7
27,73,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
28,75,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
29,77,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2
30,77,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
31,79,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
32,80,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,1
33,81,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
34,82,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,7
35,82,14,3,Human,-54169231#2,386687235,212973.835,452759.09,213478.36,452435.42,8
36,82,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
37,82,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,1
38,83,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
39,86,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
40,88,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,1
41,89,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
42,91,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
43,92,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2
44,93,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
45,94,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
46,96,11,13,Human,128361109#1,40888354#0,211442.47,452097.55,213168.415,452820.44,8
47,101,15,1,Human,-10427692#1,-128361102#1,211769.91,451851.51,211388.46,451952.25,7
48,101,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,7
49,105,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
50,106,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,7
51,109,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
52,112,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,1
53,119,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,3
54,125,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,5
55,127,18,2,Human,201950247#3,32978638#0,213070.49,452706.715,213633.66,451984.92,1
56,128,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,5
57,129,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
58,131,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,5
59,132,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
60,133,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
61,134,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
62,135,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,7
63,136,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,5
64,136,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
65,139,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,4
66,140,19,12,Human,-26677542#0,447569997#1,212861.46,453069.875,213435.6,452999.15,7
67,141,20,3,Human,26677213#0,386687235,212783.0,452608.015,213478.36,452435.42,8
68,141,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,5
69,142,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,10
70,149,13,14,Human,-447569998#1,315358242#0,213434.54,453008.69,213322.49,452739.76,7
71,149,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,10
72,150,8,15,Human,266565295#5,-24634506#2,213807.23,452252.93,212923.875,452069.915,7
73,152,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,7
74,154,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
75,154,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,7
76,155,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
77,158,21,17,Human,24599188#0.94,-10427692#3,213342.76,451641.085,211783.375,451881.39,6
78,160,22,9,Human,176550249#3,201238729#3,212398.57,452249.84,211438.31,452110.43,4
79,160,4,18,Human,-306240162#1,24634510#6,211638.505,452888.985,212342.785,452084.485,8
80,164,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
81,166,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
82,167,23,2,Human,-24634413#2,32978638#0,213167.66,452053.11,213633.66,451984.92,2
83,169,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
84,171,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
85,172,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
86,176,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,8
87,178,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
88,179,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
89,181,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
90,181,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,8
91,181,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,1
92,183,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
93,186,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
94,188,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
95,189,24,19,Human,-160314345#5,-24634505,213480.015,452304.825,212865.605,452150.26,7
96,189,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
97,191,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
98,192,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,11
