id,start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,vec_x,vec_y,cluster
0,5,0,0,Human,315358244,-25149001#4,212975.4675,453432.9725,212672.595,451274.97,-302.8724999999977,-2158.0025000000023,0
1,5,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
2,11,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,33.61499999999069,-324.88000000000466,4
3,11,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
4,11,3,3,Human,315358250#0,386687235,213010.6175,453383.065,213478.36,452435.42,467.742499999993,-947.6450000000186,5
5,12,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
6,13,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,362.9349999999977,268.1900000000023,5
7,15,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
8,17,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
9,25,5,2,Human,201201950#1,32978638#0,212938.88,452449.41,213633.66,451984.92,694.7799999999988,-464.4899999999907,5
10,26,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
11,28,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
12,30,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
13,31,6,5,Human,201201953#4,-266565295#5,212565.76,452330.09,213811.85,452244.51,1246.0899999999965,-85.5800000000163,5
14,33,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
15,37,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
16,39,7,6,Human,272042143,24634414#1,213484.675,452457.545,213210.56,452282.365,-274.1149999999907,-175.17999999999302,4
17,55,8,7,Human,266565295#5,-24634415,213807.23,452252.93,213265.68,452105.8000000001,-541.5500000000175,-147.12999999988824,4
18,56,9,8,Human,22716069#0,24634517#13,212648.485,451697.03,212403.965,451889.175,-244.51999999998952,192.14499999996042,4
19,57,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
20,57,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
21,58,10,5,Human,24634507,-266565295#5,212909.515,451808.915,213811.85,452244.51,902.3349999999919,435.59500000003027,4
22,60,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,558.9700000000012,1059.625,4
23,61,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,-2046.3649999999907,-347.1149999999907,4
24,69,12,10,Human,315358242#0,306240162#0,213272.11,452897.16,211642.94,452890.83,-1629.1699999999837,-6.3299999999580905,4
25,72,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
26,72,13,11,Human,-447569998#1,-26677539,213434.54,453008.69,213132.695,453002.015,-301.84500000000116,-6.6749999999883585,4
27,73,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
28,75,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
29,77,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2191.1900000000023,-112.63000000000466,4
30,77,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
31,79,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
32,80,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,460.132500000007,-433.8224999999511,5
33,81,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
34,82,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,-1433.1000000000058,148.48499999998603,4
35,82,14,3,Human,-54169231#2,386687235,212973.835,452759.09,213478.36,452435.42,504.5249999999942,-323.6700000000419,5
36,82,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
